"","...1","...2","Make","Model","Variant","Displacement","Cylinders","Valves_Per_Cylinder","Emission_Norm","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Kerb_Weight","Gears","Ground_Clearance","Front_Track","Rear_Track","Power","Torque","Seating_Capacity","Type","Wheelbase","Boot_Space","Minimum_Turning_Radius"
"446",446,445,19,"Carnival","Limousine 7 Str",2199,4,4,"BS 6",51.9907268170426,"Diesel",1755,5115,1985,5,94.0801963534362,19.8741181581234,1383.01553829079,6,179.415557830092,1985,1526.37732656514,"200PS@3800rpm","440Nm@1750-2750rpm",7,"Automatic",3060,540,13.1699326599327
"447",447,446,35,"Superb","Style 1.8 Tsi Mt",1798,4,4,"BS IV",66,"Petrol",1483,4861,1864,4,10.6,14.12,1449,3,164,1520,1526.37732656514,"180PS@6200RPM","320Nm@1450-3900rpm",5,"Manual",2841,625,11.1
"448",448,447,35,"Superb","Style 1.8 Tsi At",1798,4,4,"BS IV",66,"Petrol",1483,4861,1864,4,10.1,14.67,1540,4,164,1520,1526.37732656514,"180PS@6200RPM","250NM@1250-5000rpm",5,"Automatic",2841,625,11.7
"449",449,448,35,"Superb","L & K 1.8 Tsi At",1798,4,4,"BS IV",66,"Petrol",1483,4861,1864,4,113,13.7,1540,4,164,1520,1526.37732656514,"180PS@6200RPM","250NM@1250-5000rpm",5,"Automatic",2841,625,5.4
"450",450,449,35,"Superb","L & K 2.0 Tdi At",1968,4,4,"BS IV",66,"Diesel",1483,4861,1864,4,15.1,18.19,1565,3,149,1520,1526.37732656514,"177PS@4000RPM","350Nm@1500-3500rpm",5,"Automatic",2841,625,11.1
"451",451,450,35,"Superb","Style 2.0 Tdi At",1968,4,4,"BS IV",66,"Diesel",1483,4861,1864,4,15.1,18.19,1565,3,149,1520,1526.37732656514,"177PS@4000RPM","350Nm@1500-3500rpm",5,"Automatic",2841,625,11.1
"452",452,451,35,"Superb","Corporate Edition 1.8 Tsi At",1798,4,4,"BS IV",66,"Petrol",1483,4861,1864,4,10.1,14.67,1540,4,164,1520,1526.37732656514,"180PS@6200RPM","250NM@1250-5000rpm",5,"Automatic",2841,625,11.7
"453",453,452,35,"Superb","Corporate Edition 2.0 Tdi At",1968,4,4,"BS IV",66,"Diesel",1483,4861,1864,4,15.1,18.19,1565,3,149,1520,1526.37732656514,"177PS@4000RPM","350Nm@1500-3500rpm",5,"Automatic",2841,625,11.1
"454",454,453,30,"Outlander","2.4L Outlander",2360,4,4,NA,60,"Petrol",1710,4695,1810,5,94.0801963534362,9.62,1602,3,190,1520,1526.37732656514,"167PS@6000RPM","222Nm@4100RPM",7,"Automatic",2670,389.766699410609,5.3
"455",455,454,39,"V40","Kinetic",1984,5,4,"BS IV",60,"Diesel",1420,4369,2041,5,168,16.81,1500,3,133,1559,1546,"150PS@150rpm","350Nm@1500-2750rpm",5,"Automatic",2647,324,10.8
